match_id,radiant_adv_nw,radiant_adv_xp,radiant_adv_lh,radiant_win
0,707,1238,-39,True
1,-193,-1224,9,False
2,1035,1470,36,False
3,2464,2822,-7,False
4,6967,5261,150,True
5,5311,5683,-7,True
6,1409,5274,28,True
7,7476,7572,62,True
8,-1669,-4849,-5,False
9,1492,1075,35,False
10,6801,6629,127,True
11,-6731,-8431,-70,False
12,6666,3607,92,False
13,-6250,-4939,-47,True
14,12939,8402,156,True
15,4424,3548,66,False
16,-372,1311,26,False
17,3162,1575,-21,True
18,-3602,-277,-34,False
19,5034,5017,-12,True
20,-1455,371,-74,True
21,-2043,-3779,-51,True
22,1904,2129,5,True
23,-4504,-3834,-22,True
24,204,-822,-47,False
25,1653,-1050,50,True
26,5962,5812,52,True
27,-6106,-5512,0,False
28,3507,1818,14,True
29,3906,3351,-40,False
30,1683,-1078,14,True
31,-1341,-1592,-60,False
32,1946,6504,111,True
33,6370,3164,84,False
34,95,1980,-24,True
35,-6030,-5983,-41,False
36,2370,-2138,38,True
37,1073,5266,-62,True
38,3527,3931,46,False
39,1722,1980,27,False
40,-4966,-5482,-61,False
41,-922,-780,21,True
42,4843,1073,41,True
43,-2491,-4376,-64,False
44,1371,-199,22,True
45,-6909,-8778,-126,True
46,2617,3399,-1,False
47,6663,9940,87,True
48,-1917,-2931,-27,True
49,5733,6127,27,True
50,-782,-3186,-62,False
51,392,1160,-29,False
52,3565,2574,64,False
53,-9078,-7555,-50,False
54,-4792,-3589,-33,True
55,1438,-1263,67,True
56,-8121,-7801,-118,True
57,-7399,-9015,-28,False
58,-1445,-2281,19,False
59,1276,1438,17,False
60,388,-150,-34,False
61,75,-1847,6,True
62,6490,7834,93,True
63,-999,465,39,False
64,-1257,-5108,-15,True
65,-2986,-2192,-73,True
66,115,-478,13,True
67,279,1323,-31,True
68,5774,5284,31,True
69,2372,1920,56,True
70,3208,5814,64,True
71,1293,2423,43,False
72,-3995,-5176,-68,True
73,-10989,-7631,-24,False
74,3141,-16,58,True
75,2013,1380,39,False
76,-3270,-1378,-74,True
77,-3455,-1540,-65,True
78,1660,4138,49,False
79,-481,-450,9,True
80,-418,-1547,-81,True
81,3950,6524,46,True
82,1837,899,6,False
83,-6570,-5492,-57,False
84,-5446,-1848,-36,True
85,-5562,-5261,-63,True
86,14068,6419,79,True
87,-1051,-157,-39,True
88,-845,122,10,True
89,3183,1836,47,False
90,-437,-1644,35,False
91,-969,-1626,6,False
92,1237,344,7,False
93,372,953,-8,False
94,1134,-1409,-4,False
95,-8560,-7774,-109,False
96,3691,5249,6,True
97,8498,8242,60,True
98,-958,1860,34,False
99,3107,5960,59,True
100,268,-160,16,False
101,-554,-60,-7,False
102,-342,323,-35,True
103,-2327,-7600,21,True
104,-2905,-426,32,False
105,5269,6429,24,True
106,2980,1732,58,True
107,11707,8773,120,False
108,-708,-1363,16,False
109,11968,8562,116,True
110,-2266,-2186,-3,False
111,-3304,-552,39,False
112,383,-2170,27,True
113,-2083,-2356,-84,False
116,-42,3135,-36,False
117,2957,1360,66,True
118,-844,-1421,-78,False
119,-3993,-3698,-42,True
120,-3336,-665,19,False
122,-1597,-179,-41,False
123,2610,4654,-44,False
124,4593,3969,9,True
125,2290,1430,53,False
126,-917,-4612,46,False
127,277,-749,5,False
128,3620,5180,-6,False
129,-4025,-3873,-22,False
130,3674,1672,11,True
131,1237,818,-19,True
132,9892,7641,136,False
133,1410,2056,17,False
134,318,498,-59,True
135,-1293,-1498,54,False
136,8418,10038,56,True
137,3416,1391,-1,True
138,249,205,-5,False
139,9353,5912,149,True
140,2624,482,-19,True
141,-7817,-8891,-72,False
142,-2760,-4667,-37,False
143,3933,988,35,False
144,54,-293,-30,False
145,764,108,11,False
146,2683,2163,36,True
147,-514,-1900,111,False
148,-1841,-2148,3,True
150,3010,2577,28,True
151,-4685,-2568,-33,False
152,542,996,59,False
153,-5627,-815,-24,True
154,3588,1564,11,True
155,-229,808,7,True
156,-1367,-2141,-34,False
157,-5055,-5950,-25,False
158,1104,-791,-24,False
159,3608,965,-22,True
160,-1138,-2356,-10,True
161,-1893,-5127,37,False
162,-928,-156,4,True
163,5273,261,22,False
164,-4231,-2390,-67,False
165,-2166,-2135,-26,False
166,-927,-2489,23,False
167,-2204,2483,-71,False
168,84,-1010,57,False
169,5386,5095,30,True
170,-2756,804,48,True
171,1909,2659,65,True
172,6189,4065,92,True
173,1162,966,-20,True
174,5722,5986,-3,True
175,-4585,-4835,21,False
176,-6296,-6632,1,False
177,4269,7047,121,True
178,-4498,-6036,-19,False
179,-4350,-1467,-93,True
180,-1528,-4594,-37,False
181,3462,1420,43,True
182,4392,2010,54,True
183,1582,1053,90,True
184,-5896,-6129,-88,False
185,5505,5829,-11,False
186,-757,-3439,4,False
187,13242,8295,150,False
188,10143,7253,86,True
189,-4870,-6107,-23,False
190,1065,1586,-6,False
191,384,-634,-13,True
192,-774,1782,34,False
193,-4112,-2836,-28,False
194,1571,-2249,48,False
195,96,-1567,-66,False
196,4523,6404,77,True
197,-3348,-2209,-48,False
198,1256,2558,50,True
199,10190,9629,111,True
200,-1067,-2181,-70,False
201,-4437,-6732,-53,False
202,4938,6918,-31,True
203,-430,-1951,17,True
204,4746,4207,-28,True
205,-353,1173,48,True
206,4770,1475,108,True
207,-4191,-3783,-13,True
208,2073,1237,26,True
209,2074,-106,-41,False
210,1700,-969,6,False
211,-1997,-3607,-38,False
212,2732,3694,67,False
213,-2022,-3976,-19,True
214,2836,5324,56,True
215,-626,921,32,True
217,1240,-744,-35,True
218,3006,3100,37,True
219,4567,4807,5,True
220,-11485,-5344,-124,False
221,249,-2187,-39,False
222,421,-2517,23,True
223,-5991,-4525,-56,False
224,2629,4671,12,True
225,-3757,-2265,-81,False
226,6294,4863,20,True
227,-327,-1672,11,True
228,1123,2179,82,True
229,-2280,-2821,-92,True
230,-533,1948,-88,True
231,-5314,-3240,-14,True
232,492,-2070,45,False
233,-754,-1777,26,True
234,-2348,-4499,-23,True
235,-1995,-1896,-52,False
236,1935,2638,9,True
237,-6723,-4377,10,False
238,342,-1124,48,False
239,-4121,-6673,-54,False
240,4426,2031,37,True
241,-3581,-2786,-55,True
242,-2262,-4064,-56,True
243,3859,7080,66,True
244,2149,4086,-44,True
245,-11032,-10747,-62,False
247,-1188,-1245,-45,True
248,-181,-243,-9,True
249,3209,2599,33,True
250,4752,5393,53,False
251,3080,1104,-4,True
252,-6696,-4347,-66,False
254,-269,-1266,-54,True
255,2100,1281,35,False
256,4867,3283,-1,True
257,10108,6180,10,True
258,-2791,-5391,-13,False
259,9973,11893,100,True
260,-1137,-3100,-57,False
261,-6586,-6848,-119,False
262,-1156,-2165,-52,True
263,5264,3626,30,True
264,7688,5974,45,True
265,2705,4005,15,True
266,1101,-85,56,True
267,-1595,-3173,-55,True
268,889,329,31,True
269,-2042,-4457,-2,False
270,-1214,-5333,-23,False
271,-985,-4328,-4,True
272,1664,886,96,True
273,6154,6155,-1,True
274,-7322,-7786,-35,True
275,1703,-674,-9,True
276,-2766,-341,-18,False
277,-658,-704,10,False
278,-617,637,-31,True
279,-1990,-778,22,True
280,-4776,-1815,-34,False
281,-7346,-7547,-64,True
282,2503,928,-27,False
283,5544,3680,55,True
284,-5749,-6599,-83,False
285,-3229,-4611,-34,False
286,-5637,-1743,17,False
287,10541,10914,51,True
288,2828,902,51,True
289,-5187,-4752,-55,True
290,-2527,-2219,-56,True
291,-1389,-2084,-6,False
292,-5405,-7214,-57,False
293,6307,4976,-20,True
